1;Водород;H;Hydrogenium;1, 1;1,00794 (7)[1][2][3];1766;https://ru.wikipedia.org/wiki/Водород
84;Полоний;Po;Polonium;6, 16;[208,9824][5];1898
85;Астат;At;Astatum;6, 17;[209,9871][5];1940
86;Радон;Rn;Radon;6, 18;[222,0176][5];1900
87;Франций;Fr;Francium;7, 1;[223,0197][5];1939
88;Радий;Ra;Radium;7, 2;[226,0254][5];1898
89;Актиний;Ac;Actinium;7;[227,0278][5];1899
90;Торий;Th;Thorium;7;232,03806 (2)[5][1];1829
91;Протактиний;Pa;Protactinium;7;231,03588 (2)[5];1917
92;Уран;U;Uranium;7;238,02891 (3)[5][1][2];1789
93;Нептуний;Np;Neptunium;7;[237,0482][5];1940
94;Плутоний;Pu;Plutonium;7;[244,0642][5];1940
95;Америций;Am;Americium;7;[243,0614][5];1944
96;Кюрий;Cm;Curium;7;[247,0703][5];1944
97;Берклий;Bk;Berkelium;7;[247,0703][5];1949
98;Калифорний;Cf;Californium;7;[251,0796][5];1950
99;Эйнштейний;Es;Einsteinium;7;[252,0829][5];1952
100;Фермий;Fm;Fermium;7;[257,0951][5];1952
101;Менделевий;Md;Mendelevium,;7;[258,0986][5];1955
102;Нобелий;No;Nobelium;7;[259,1009][5];1958
103;Лоуренсий;Lr;Lawrencium,;7, 3;[262][5];1961
104;Резерфордий;Rf;Rutherfordium;7, 4;[267][5];1964
105;Дубний;Db;Dubnium;7, 5;[268][5];1967
106;Сиборгий;Sg;Seaborgium;7, 6;[271][5];1974
107;Борий;Bh;Bohrium;7, 7;[270][5];1976
108;Хассий;Hs;Hassium;7, 8;[269][5];1984
109;Мейтнерий;Mt;Meitnerium;7, 9;[278][5];1982
110;Дармштадтий;Ds;Darmstadtium;7, 10;[281][5];1994
111;Рентгений;Rg;Roentgenium;7, 11;[281][5];1994
112;Коперниций;Cn;Copernicium;7, 12;[285][5];1996
113;Унунтрий;Uut;Ununtrium;7, 13;[284][5];2004
114;Флеровий;Fl;Flerovium;7, 14;[289][5];1999
115;Унунпентий;Uup;Ununpentium;7, 15;[289][5];2004
116;Ливерморий;Lv;Livermorium;7, 16;[292][5];2000
117;Унунсептий;Uus;Ununseptium;7, 17;[294][5];2010
118;Унуноктий;Uuo;Ununoctium;7, 18;[294][5];2004
